Function and Parameters;Data Segment
"1712065349356,GetServoVersion,2,1,";47494f50010001004400000000000000e03700000100020004000000010000000d0000006d6f63686147657444617461003c2377000000003b0000002700000000000000020000000000000010000000
"1712065349864,GetServoDiagnosis,3,7,";47494f50010001004400000000000000e0370000015a590104000000010000000d0000006d6f6368614765744461746100000000000000007e0000000100000001000000000000000000000001000000
"1712065349864,GetServoDiagnosis,3,7,";47494f50010001004400000000000000e03700000157590104000000010000000d0000006d6f6368614765744461746100000000000000003b0000003c00000000000000040000000000000001000000
"1712065350882,GetPowerDiagnosis,3,14,";47494f50010001004400000000000000e03700000100190004000000010000000d0000006d6f63686147657444617461003c237700000000400000000800000000000000040000000000000003000000
"1712065351386,GetSpindleMonitor,1,2,";47494f50010001004400000000000000e03700000157590104000000010000000d0000006d6f6368614765744461746100000000000000003f0000000200000000000000020000000000000003000000
"1712065351888,GetSpindleVersion,2,1,";47494f50010001004400000000000000e0370000015a590104000000010000000d0000006d6f6368614765744461746100000000000000003f0000001c00000000000000020000000000000010000000
"1712065352911,GetAbsPositionMonitor,1,1,";47494f50010001004400000000000000e0370000015a590104000000010000000d0000006d6f6368614765744461746100000000000000007e0000000100000001000000000000000000000001000000
"1712065352911,GetAbsPositionMonitor,1,1,";47494f50010001004400000000000000e03700000157590104000000010000000d0000006d6f6368614765744461746100000000000000003b0000001b00000000000000010000000000000010000000
"1712065353423,GetAuxAxisMonitor,1,1,";47494f50010001004400000000000000e03700000100000004000000010000000d0000006d6f636861476574446174610000000000000000410000000200000000000000010000000000000002000000
"1712065353929,GetAuxAxisDiagnosis,1,1,";47494f50010001004400000000000000e0370000015a590104000000010000000d0000006d6f636861476574446174610000000000000000410000004800000000000000010000000000000010000000
"1712065354435,GetAuxAxisVersion,1,0,";47494f50010001004400000000000000e03700000158590104000000010000000d0000006d6f636861476574446174610000000000000000410000001300000000000000010000000000000010000000
"1712065354939,GetDowelTime,";47494f50010001004400000000000000e03700000100120004000000010000000d0000006d6f63686147657444617461003c2377000000002a0000000500000001000000000000000000000010000000
"1712065355445,GetInvalidStatus,";47494f50010001004400000000000000e037000001001f0004000000010000000d0000006d6f63686147657444617461003c2377000000002d0000000200000001000000000000000000000001000000
"1712065355445,GetInvalidStatus,";47494f50010001004400000000000000e037000001001c0004000000010000000d0000006d6f63686147657444617461003c2377000000002d0000000300000001000000000000000000000001000000
"1712065355952,GetCommandStatus,";47494f50010001004400000000000000e03700000159590104000000010000000d0000006d6f63686147657444617461000000000000000029000000cc00000001000000000000000000000001000000
"1712065356458,GetCuttingMode,";47494f50010001004400000000000000e03700000157590104000000010000000d0000006d6f63686147657444617461000000000000000029000000ce00000001000000000000000000000002000000
"1712065356964,GetAxisStatus,2,1,";47494f50010001004400000000000000e03700000158590104000000010000000d0000006d6f636861476574446174610000000000000000240000006600000001000000000000000000000002000000
"1712065357477,GetRunStatus,0,";47494f50010001004400000000000000e037000001001f0004000000010000000d0000006d6f63686147657444617461003c237700000000160000000100000001000000000000000000000003000000
"1712065357980,CommonVRead,366250,";47494f50010001004400000000000000e03700000100090004000000010000000d0000006d6f63686147657444617461003c23770000000006000000d007000001000000000000000000000005000000
"1712065358992,GetSize,1,";47494f50010001004400000000000000e03700000157590104000000010000000d0000006d6f636861476574446174610000000000000000020000000800000000000000000000000000000003000000
"1712065359498,GetName,514,";47494f50010001004400000000000000e03700000100000004000000010000000d0000006d6f63686147657444617461000000000000000005000000d209000000000000000000000000000010000000
"1712065361015,GetMacroLevel,";47494f50010001004400000000000000e03700000157590104000000010000000d0000006d6f636861476574446174610000000000000000230000000100000001000000000000000000000001000000
"1712065362030,GetToolSetSize,";47494f50010001004400000000000000e037000001000b0004000000010000000d0000006d6f63686147657444617461003c237700000000030000000200000001000000000000000000000002000000
"1712065362535,GetType,";47494f50010001004400000000000000e037000001000e0004000000010000000d0000006d6f63686147657444617461003c237700000000030000000100000001000000000000000000000001000000
"1712065363043,GetOffset,4,5,4,";47494f50010001004400000000000000e037000001000d0004000000010000000d0000006d6f63686147657444617461003c237700000000030000000200000001000000000000000000000003000000
"1712065363552,GetOffset2,701,590,65,";47494f50010001004400000000000000e037000001000e0004000000010000000d0000006d6f63686147657444617461003c237700000000030000000200000001000000000000000000000003000000
"1712065364055,SetOffset,590,423,75,-1816.831047,36,";47494f50010001004400000000000000e03700000100000004000000010000000d0000006d6f636861476574446174610000000000000000030000000200000001000000000000000000000003000000
"1712065368128,GetToolLifeType2,";47494f50010001004400000000000000e03700000159590104000000010000000d0000006d6f6368614765744461746100000000000000005a0000007f00000000000000000000000000000001000000
"1712065368128,GetToolLifeType2,";47494f50010001004400000000000000e03700000157590104000000010000000d0000006d6f6368614765744461746100000000000000007e0000006700000000000000000000000000000003000000
"1712065368128,GetToolLifeType2,";47494f50010001004400000000000000e03700000158590104000000010000000d0000006d6f6368614765744461746100000000000000007e0000006000000000000000000000000000000001000000
"1712065368637,SetToolLifeType2,2,";47494f50010001004900000000000000e03700000100100004000000010000000d0000006d6f63686153657444617461003c2377000000007e00000060000000000000000000000000000000010000000100000002
"1712065369647,ChangeToolLifeGroup,8,8,";47494f50010001004400000000000000e037000001000b0004000000010000000d0000006d6f63686147657444617461003c2377000000005a0000007f00000000000000000000000000000001000000
"1712065369647,ChangeToolLifeGroup,8,8,";47494f50010001004400000000000000e037000001001c0004000000010000000d0000006d6f63686147657444617461003c2377000000007e0000006700000000000000000000000000000003000000
"1712065369647,ChangeToolLifeGroup,8,8,";47494f50010001004400000000000000e03700000100060004000000010000000d0000006d6f63686147657444617461003c2377000000007e0000006000000000000000000000000000000001000000
"1712065369647,ChangeToolLifeGroup,8,8,";47494f50010001004c00000000000000e03700000100000004000000010000000d0000006d6f6368615365744461746100000000000000001200000013270000010000000000000000000000030000000400000008000000
"1712065369647,ChangeToolLifeGroup,8,8,";47494f50010001004400000000000000e037000001001f0004000000010000000d0000006d6f63686147657444617461003c237700000000120000001327000001000000000000000000000003000000
"1712065370163,DeleteToolLifeGroup,1,";47494f50010001004400000000000000e037000001000d0004000000010000000d0000006d6f63686147657444617461003c2377000000005a0000007f00000000000000000000000000000001000000
"1712065370163,DeleteToolLifeGroup,1,";47494f50010001004400000000000000e03700000100000004000000010000000d0000006d6f63686147657444617461003c2377000000007e0000006700000000000000000000000000000003000000
"1712065370163,DeleteToolLifeGroup,1,";47494f50010001004400000000000000e03700000100070004000000010000000d0000006d6f63686147657444617461003c2377000000007e0000006000000000000000000000000000000001000000
"1712065370163,DeleteToolLifeGroup,1,";47494f50010001004c00000000000000e03700000100000004000000010000000d0000006d6f6368615365744461746100000000000000001200000011270000010000000000000000000000030000000400000001000000
"1712065371175,ChangeToolLifeToolNo,4,4,4,";47494f50010001004400000000000000e0370000015a590104000000010000000d0000006d6f6368614765744461746100000000000000005a0000007f00000000000000000000000000000001000000
"1712065371175,ChangeToolLifeToolNo,4,4,4,";47494f50010001004400000000000000e03700000159590104000000010000000d0000006d6f6368614765744461746100000000000000007e0000006700000000000000000000000000000003000000
"1712065371175,ChangeToolLifeToolNo,4,4,4,";47494f50010001004400000000000000e03700000159590104000000010000000d0000006d6f6368614765744461746100000000000000007e0000006000000000000000000000000000000001000000
"1712065371175,ChangeToolLifeToolNo,4,4,4,";47494f50010001004c00000000000000e03700000100000004000000010000000d0000006d6f6368615365744461746100000000000000001200000013270000010000000000000000000000030000000400000004000000
"1712065371175,ChangeToolLifeToolNo,4,4,4,";47494f50010001004400000000000000e03700000100100004000000010000000d0000006d6f63686147657444617461003c237700000000120000001327000001000000000000000000000003000000
"1712065371175,ChangeToolLifeToolNo,4,4,4,";47494f50010001004400000000000000e03700000100190004000000010000000d0000006d6f63686147657444617461003c23770000000012000000e12e000001000000000000000000000003000000
"1712065371175,ChangeToolLifeToolNo,4,4,4,";47494f50010001004400000000000000e037000001000d0004000000010000000d0000006d6f63686147657444617461003c23770000000012000000c932000001000000000000000000000003000000
"1712065371175,ChangeToolLifeToolNo,4,4,4,";47494f50010001004400000000000000e03700000100120004000000010000000d0000006d6f63686147657444617461003c23770000000012000000813e000001000000000000000000000010000000
"1712065371692,DeleteToolLifeToolNo,4,4,";47494f50010001004400000000000000e03700000100000004000000010000000d0000006d6f6368614765744461746100000000000000005a0000007f00000000000000000000000000000001000000
"1712065371692,DeleteToolLifeToolNo,4,4,";47494f50010001004400000000000000e03700000100000004000000010000000d0000006d6f6368614765744461746100000000000000007e0000006700000000000000000000000000000003000000
"1712065371692,DeleteToolLifeToolNo,4,4,";47494f50010001004400000000000000e03700000100000004000000010000000d0000006d6f6368614765744461746100000000000000007e0000006000000000000000000000000000000001000000
"1712065371692,DeleteToolLifeToolNo,4,4,";47494f50010001004c00000000000000e03700000100020004000000010000000d0000006d6f63686153657444617461003c2377000000001200000013270000010000000000000000000000030000000400000004000000
"1712065371692,DeleteToolLifeToolNo,4,4,";47494f50010001004400000000000000e0370000015a590104000000010000000d0000006d6f636861476574446174610000000000000000120000001327000001000000000000000000000003000000
"1712065371692,DeleteToolLifeToolNo,4,4,";47494f50010001004400000000000000e0370000015a590104000000010000000d0000006d6f63686147657444617461000000000000000012000000e12e000001000000000000000000000003000000
"1712065371692,DeleteToolLifeToolNo,4,4,";47494f50010001004400000000000000e0370000015a590104000000010000000d0000006d6f63686147657444617461000000000000000012000000c932000001000000000000000000000003000000
"1712065371692,DeleteToolLifeToolNo,4,4,";47494f50010001004400000000000000e0370000015a590104000000010000000d0000006d6f63686147657444617461000000000000000012000000813e000001000000000000000000000010000000
"1712065372210,GetMGNControl,";47494f50010001004400000000000000e037000001000b0004000000010000000d0000006d6f63686147657444617461003c2377000000003700000008b0010000000000000000000000000002000000
"1712065372718,GetMGNControl,";47494f50010001004400000000000000e037000001001f0004000000010000000d0000006d6f63686147657444617461003c2377000000003700000008b0010000000000000000000000000002000000
"1712065373232,GetMGNSize,";47494f50010001004400000000000000e037000001001f0004000000010000000d0000006d6f63686147657444617461003c2377000000003700000012b0010000000000000000000000000002000000
"1712065373232,GetMGNSize,";47494f50010001004400000000000000e03700000100080004000000010000000d0000006d6f63686147657444617461003c2377000000003700000013b0010000000000000000000000000002000000
"1712065373232,GetMGNSize,";47494f50010001004400000000000000e037000001000b0004000000010000000d0000006d6f63686147657444617461003c2377000000003700000014b0010000000000000000000000000002000000
"1712065373232,GetMGNSize,";47494f50010001004400000000000000e03700000159590104000000010000000d0000006d6f6368614765744461746100000000000000003700000008b0010000000000000000000000000002000000
"1712065373771,GetMGNSize2,5,";47494f50010001004400000000000000e037000001000d0004000000010000000d0000006d6f63686147657444617461003c2377000000003700000016b0010000000000000000000000000002000000
"1712065374272,GetMGNReady2,2,3,";47494f50010001004400000000000000e03700000100000004000000010000000d0000006d6f6368614765744461746100000000000000003700000008b0010000000000000000000000000002000000
"1712065374272,GetMGNReady2,2,3,";47494f50010001004400000000000000e037000001000d0004000000010000000d0000006d6f63686147657444617461003c237700000000370000001fb0010000000000000000000000000002000000
"1712065374794,GetMGNPot,139,";47494f50010001004400000000000000e0370000015b590104000000010000000d0000006d6f6368614765744461746100000000000000003700000012b0010000000000000000000000000002000000
"1712065374794,GetMGNPot,139,";47494f50010001004400000000000000e03700000158590104000000010000000d0000006d6f6368614765744461746100000000000000003700000013b0010000000000000000000000000002000000
"1712065374794,GetMGNPot,139,";47494f50010001004400000000000000e03700000157590104000000010000000d0000006d6f6368614765744461746100000000000000003700000014b0010000000000000000000000000002000000
"1712065374794,GetMGNPot,139,";47494f50010001004400000000000000e0370000015a590104000000010000000d0000006d6f6368614765744461746100000000000000003700000015b0010000000000000000000000000002000000
"1712065374794,GetMGNPot,139,";47494f50010001004400000000000000e03700000159590104000000010000000d0000006d6f6368614765744461746100000000000000003700000016b0010000000000000000000000000002000000
"1712065375306,GetMGNPot3,2,151,";47494f50010001004400000000000000e03700000100030004000000010000000d0000006d6f63686147657444617461003c2377000000003700000012b0010000000000000000000000000002000000
"1712065375306,GetMGNPot3,2,151,";47494f50010001004400000000000000e037000001001b0004000000010000000d0000006d6f63686147657444617461003c2377000000003700000013b0010000000000000000000000000002000000
"1712065375306,GetMGNPot3,2,151,";47494f50010001004400000000000000e03700000100130004000000010000000d0000006d6f63686147657444617461003c2377000000003700000014b0010000000000000000000000000002000000
"1712065375306,GetMGNPot3,2,151,";47494f50010001004400000000000000e03700000100100004000000010000000d0000006d6f63686147657444617461003c2377000000003700000015b0010000000000000000000000000002000000
"1712065375306,GetMGNPot3,2,151,";47494f50010001004400000000000000e03700000100110004000000010000000d0000006d6f63686147657444617461003c2377000000003700000016b0010000000000000000000000000002000000
"1712065375829,SetMGNPot,151,26606489,";47494f50010001004400000000000000e037000001001d0004000000010000000d0000006d6f63686147657444617461003c2377000000003700000012b0010000000000000000000000000002000000
"1712065375829,SetMGNPot,151,26606489,";47494f50010001004400000000000000e037000001000d0004000000010000000d0000006d6f63686147657444617461003c2377000000003700000013b0010000000000000000000000000002000000
"1712065375829,SetMGNPot,151,26606489,";47494f50010001004400000000000000e037000001001f0004000000010000000d0000006d6f63686147657444617461003c2377000000003700000014b0010000000000000000000000000002000000
"1712065375829,SetMGNPot,151,26606489,";47494f50010001004400000000000000e03700000100080004000000010000000d0000006d6f63686147657444617461003c2377000000003700000015b0010000000000000000000000000002000000
"1712065375829,SetMGNPot,151,26606489,";47494f50010001004400000000000000e037000001000d0004000000010000000d0000006d6f63686147657444617461003c2377000000003700000016b0010000000000000000000000000002000000
"1712065376348,SetMGNPot3,5,341,13453927,";47494f50010001004400000000000000e03700000100100004000000010000000d0000006d6f63686147657444617461003c2377000000003700000012b0010000000000000000000000000002000000
"1712065376348,SetMGNPot3,5,341,13453927,";47494f50010001004400000000000000e037000001000e0004000000010000000d0000006d6f63686147657444617461003c2377000000003700000013b0010000000000000000000000000002000000
"1712065376348,SetMGNPot3,5,341,13453927,";47494f50010001004400000000000000e03700000100050004000000010000000d0000006d6f63686147657444617461003c2377000000003700000014b0010000000000000000000000000002000000
"1712065376348,SetMGNPot3,5,341,13453927,";47494f50010001004400000000000000e0370000014c2f0104000000010000000d0000006d6f63686147657444617461004d2f01000000003700000015b0010000000000000000000000000002000000
"1712065376348,SetMGNPot3,5,341,13453927,";47494f50010001004400000000000000e037000001001d0004000000010000000d0000006d6f63686147657444617461003c2377000000003700000016b0010000000000000000000000000002000000
"1712065376851,GetMGNAux,";47494f50010001004400000000000000e03700000158590104000000010000000d0000006d6f636861476574446174610000000000000000370000000cb0010000000000000000000000000002000000
"1712065377361,SetMGNAux,41868,";47494f50010001004c00000000000000e03700000100030004000000010000000d0000006d6f63686153657444617461003c237700000000370000000cb0010000000000000000000000000003000000040000008ca30000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100110004000000010000000d0000006d6f63686147657444617461003c237700000000420000009001000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100080004000000010000000d0000006d6f63686147657444617461003c237700000000420000009101000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100070004000000010000000d0000006d6f63686147657444617461003c237700000000420000009201000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100080004000000010000000d0000006d6f63686147657444617461003c237700000000420000009301000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e037000001000f0004000000010000000d0000006d6f63686147657444617461003c237700000000420000009401000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100110004000000010000000d0000006d6f63686147657444617461003c237700000000420000009501000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100080004000000010000000d0000006d6f63686147657444617461003c237700000000420000009601000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100070004000000010000000d0000006d6f63686147657444617461003c237700000000420000009701000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100110004000000010000000d0000006d6f63686147657444617461003c237700000000420000009801000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100070004000000010000000d0000006d6f63686147657444617461003c237700000000420000009901000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100110004000000010000000d0000006d6f63686147657444617461003c237700000000420000009a01000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100130004000000010000000d0000006d6f63686147657444617461003c237700000000420000009b01000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100070004000000010000000d0000006d6f63686147657444617461003c237700000000420000009c01000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100070004000000010000000d0000006d6f63686147657444617461003c237700000000420000009d01000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100070004000000010000000d0000006d6f63686147657444617461003c237700000000420000009e01000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100080004000000010000000d0000006d6f63686147657444617461003c237700000000420000009f01000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100080004000000010000000d0000006d6f63686147657444617461003c23770000000042000000a001000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100070004000000010000000d0000006d6f63686147657444617461003c23770000000042000000a101000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100070004000000010000000d0000006d6f63686147657444617461003c23770000000042000000a201000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100070004000000010000000d0000006d6f63686147657444617461003c23770000000042000000a301000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100080004000000010000000d0000006d6f63686147657444617461003c23770000000042000000a401000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100070004000000010000000d0000006d6f63686147657444617461003c23770000000042000000a501000000000000000000000000000010000000
"1712065378424,GetVersion,2,";47494f50010001004400000000000000e03700000100070004000000010000000d0000006d6f63686147657444617461003c23770000000042000000a601000000000000000000000000000010000000
"1712065378957,GetSystemInformation,1,";47494f50010001004400000000000000e03700000158590104000000010000000d0000006d6f636861476574446174610000000000000000010000000200000001000000000000000000000001000000
"1712065379475,GetAlarm,2,264,";47494f50010001004800000000000000e03700000100080004000000010000001d0000006d6f63686147657443757272656e74416c61726d4d7367466972737400512f0100000000010000000200000008010000
"1712065379982,GetWorkPosition,1,0,";47494f50010001004400000000000000e03700000158590104000000010000000d0000006d6f636861476574446174610000000000000000250000000100000001000000010000000000000010000000
"1712065380499,GetWorkPosition2,3,0,";47494f50010001004400000000000000e03700000100000004000000010000000d0000006d6f636861476574446174610000000000000000250000000100000001000000040000000000000010000000
"1712065381003,GetMachinePosition,1,0,";47494f50010001004400000000000000e03700000158590104000000010000000d0000006d6f636861476574446174610000000000000000250000000200000001000000010000000000000010000000
"1712065381506,GetMachinePosition2,2,1,";47494f50010001004400000000000000e03700000100000004000000010000000d0000006d6f636861476574446174610000000000000000250000001200000001000000020000000000000010000000
"1712065382021,GetCurrentPosition,3,";47494f50010001004400000000000000e03700000158590104000000010000000d0000006d6f636861476574446174610000000000000000250000000300000001000000040000000000000010000000
